Epoch 161: Loss 9.82, Reward -21.0, Avgloss 9.84, Avgreward -20.78, Epsilon 0.11, TotalStep 138820
Epoch 162: Loss 10.30, Reward -21.0, Avgloss 9.83, Avgreward -20.79, Epsilon 0.11, TotalStep 139637
Epoch 163: Loss 10.81, Reward -21.0, Avgloss 9.84, Avgreward -20.79, Epsilon 0.11, TotalStep 140513
Epoch 164: Loss 8.69, Reward -21.0, Avgloss 9.83, Avgreward -20.80, Epsilon 0.11, TotalStep 141274
Epoch 165: Loss 9.55, Reward -21.0, Avgloss 9.84, Avgreward -20.80, Epsilon 0.11, TotalStep 142036
Epoch 166: Loss 10.13, Reward -20.0, Avgloss 9.85, Avgreward -20.79, Epsilon 0.10, TotalStep 142874
Epoch 167: Loss 9.83, Reward -21.0, Avgloss 9.86, Avgreward -20.80, Epsilon 0.10, TotalStep 143693
Epoch 168: Loss 9.31, Reward -21.0, Avgloss 9.85, Avgreward -20.80, Epsilon 0.10, TotalStep 144477
Epoch 169: Loss 9.86, Reward -20.0, Avgloss 9.86, Avgreward -20.79, Epsilon 0.10, TotalStep 145312
Epoch 170: Loss 10.30, Reward -20.0, Avgloss 9.86, Avgreward -20.78, Epsilon 0.10, TotalStep 146146
Epoch 171: Loss 9.90, Reward -21.0, Avgloss 9.87, Avgreward -20.79, Epsilon 0.10, TotalStep 146967
Epoch 172: Loss 10.38, Reward -21.0, Avgloss 9.87, Avgreward -20.80, Epsilon 0.10, TotalStep 147788
Epoch 173: Loss 9.49, Reward -21.0, Avgloss 9.86, Avgreward -20.81, Epsilon 0.10, TotalStep 148546
Epoch 174: Loss 9.15, Reward -21.0, Avgloss 9.85, Avgreward -20.82, Epsilon 0.10, TotalStep 149305
Epoch 175: Loss 9.81, Reward -21.0, Avgloss 9.85, Avgreward -20.83, Epsilon 0.10, TotalStep 150124
Epoch 176: Loss 9.38, Reward -21.0, Avgloss 9.85, Avgreward -20.84, Epsilon 0.10, TotalStep 150943
Epoch 177: Loss 10.03, Reward -21.0, Avgloss 9.84, Avgreward -20.84, Epsilon 0.10, TotalStep 151791
Epoch 178: Loss 10.21, Reward -21.0, Avgloss 9.84, Avgreward -20.84, Epsilon 0.09, TotalStep 152578
Epoch 179: Loss 11.80, Reward -21.0, Avgloss 9.87, Avgreward -20.84, Epsilon 0.09, TotalStep 153502
Epoch 180: Loss 10.14, Reward -21.0, Avgloss 9.87, Avgreward -20.84, Epsilon 0.09, TotalStep 154323
Epoch 181: Loss 9.15, Reward -21.0, Avgloss 9.87, Avgreward -20.84, Epsilon 0.09, TotalStep 155080
Epoch 182: Loss 9.74, Reward -21.0, Avgloss 9.85, Avgreward -20.84, Epsilon 0.09, TotalStep 155900
Epoch 183: Loss 10.36, Reward -21.0, Avgloss 9.86, Avgreward -20.85, Epsilon 0.09, TotalStep 156660
